data,canal,tema,resumo,resolvido
2025-09-15,chat,CDB,Cliente perguntou sobre rentabilidade e prazos,sim
2025-09-22,telefone,Problema no app,Erro ao visualizar extrato foi corrigido,sim
2025-10-01,chat,Tesouro Selic,Cliente pediu explicação sobre o funcionamento do Tesouro Direto,sim
2025-10-12,chat,Metas financeiras,Cliente acompanhou o progresso da reserva de emergência,sim
2025-10-25,email,Atualização cadastral,Cliente atualizou e-mail e telefone,sim
2025-11-05,chat,Corte de Gastos,Ipi identificou gasto excessivo em delivery e deu puxão de orelha,sim
2025-11-12,chat,Renda Variável,Dúvida sobre a diferença entre FIIs e Ações para iniciantes,sim
2025-11-20,app,Planejamento Mensal,Criação de orçamento para as festas de fim de ano,sim
2025-12-02,chat,Reserva de Emergência,Aporte extraordinário após recebimento de bônus,sim
2025-12-15,chat,Cartão de Crédito,Análise de fatura alta e sugestão de parcelamento de compras,sim
2026-01-05,chat,Revisão Anual,Ajuste de metas financeiras para o novo ano,sim
